n,key,url,classifier,category,spec_areas,confidence,rationale,summary,description,project,issuetype,components,labels,links,haiku_category,haiku_confidence
134,JAVA-2515,https://jira.mongodb.org/browse/JAVA-2515,opus,not_relevant,,medium,"FloatCodec used Float.MIN_VALUE instead of -MAX_VALUE for lower bound; codec range bug, not a BSON spec rule.",Fix FloatCodec lower range,{{Float.MIN_VALUE}} is not the mathematical minimum it can represent. Negative of MAX_VALUE is the mathematical minimum value for floats.,JAVA,Bug,Codecs,,,not_relevant,medium
135,JAVA-2602,https://jira.mongodb.org/browse/JAVA-2602,opus,not_relevant,,high,"Groovy/Spock test framework MissingMethodException in Java unit specifications; internal test bug, not a spec rule.",Resolve groovy.lang.MissingMethodException in test specifications,"See [here|https://evergreen.mongodb.com/task_log_raw/mongo_java_driver_tests_jdk6_secure__version~latest_os~rhel62_topology~replicaset_auth~auth_ssl~ssl_jdk~jdk6_test_9e6f5f921811b5b6e835fe9fbaa3416f3eb3f97b_17_09_15_16_48_42/0?type=T#L8170] for one example.  There are two occurrences of the exception, one in ListCollectionsOperationSpecification and one in ListIndexesOperationSpecification

{noformat}
[2017/09/15 13:47:19.622] com.mongodb.operation.ListCollectionsOperationSpecification > should use the AsyncReadBindings readPreference to set slaveOK STANDARD_OUT
[2017/09/15 13:47:19.622]     17:47:19.614 [Test worker] WARN  org.mongodb.driver.operation - Callback onResult call produced an error
[2017/09/15 13:47:19.622]     groovy.lang.MissingMethodException: No signature of method: com.mongodb.operation.CommandOperationHelper$1.onResult() is applicable for argument types: (org.bson.BsonDocument, org.spockframework.lang.Wildcard) values: [[ok:BsonDouble{value=1.0}, cursor:[id:BsonInt64{value=1}, ns:BsonString{value='db.coll'}, ...]], ...]
[2017/09/15 13:47:19.622]     Possible solutions: onResult(java.lang.Object, java.lang.Throwable), findResult(java.lang.Object, groovy.lang.Closure), findResult(groovy.lang.Closure)
[2017/09/15 13:47:19.622]     	at org.codehaus.groovy.runtime.ScriptBytecodeAdapter.unwrap(ScriptBytecodeAdapter.java:58) ~[groovy-all-2.4.12.jar:2.4.12]
[2017/09/15 13:47:19.622]     	at org.codehaus.groovy.runtime.callsite.PojoMetaClassSite.call(PojoMetaClassSite.java:49) ~[groovy-all-2.4.12.jar:2.4.12]
[2017/09/15 13:47:19.622]     	at org.codehaus.groovy.runtime.callsite.CallSiteArray.defaultCall(CallSiteArray.java:48) [groovy-all-2.4.12.jar:2.4.12]
[2017/09/15 13:47:19.622]     	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.call(AbstractCallSite.java:113) [groovy-all-2.4.12.jar:2.4.12]
[2017/09/15 13:47:19.622]     	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.call(AbstractCallSite.java:133) [groovy-all-2.4.12.jar",JAVA,Improvement,Test Coverage,,,driver_spec_nonconformance,medium
136,JAVA-2799,https://jira.mongodb.org/browse/JAVA-2799,opus,not_relevant,,high,"POJO codec mishandles enums in same package; Java-specific codec mapping bug, not a spec rule.",Enum is handled as POJO when coexists in the same package as the rest of the POJO classes,"When an enum exists in the same package as POJO classes, its type is handled as a POJO and not as an enum.
Consider the package ""my_package"" and under it the following:
{code:java}
package my_package;
public class MyClass {

     public enum MyEnum {
           ENUM_1, ENUM_2;
     }
    
     private MyEnum e;
    
     public MyClass() {
     }

     public MyEnum getE() {return e;}
     public void setE(MyEnum e) {this.e = e;}
}

// In another package, where MongoClient is created

//Register the PojoCodecProvider
PojoCodecProvider pojoCodecProvider = PojoCodecProvider.builder()
                .register(""my_package"").build();
//.... Rest of the code that associates PojoCodecProvider with MongoClient

//When find() is called to bring a MyClass document from the database:
MyClass myClass = myClassCollection.find().first();
{code}

{noformat}
The following error occurs:
Caused by: org.bson.codecs.configuration.CodecConfigurationException: Cannot find a public constructor for 'MyEnum'.
	at org.bson.codecs.pojo.CreatorExecutable.checkHasAnExecutable(CreatorExecutable.java:140)
	at org.bson.codecs.pojo.CreatorExecutable.getInstance(CreatorExecutable.java:107)
	at org.bson.codecs.pojo.InstanceCreatorImpl.<init>(InstanceCreatorImpl.java:40)
	at org.bson.codecs.pojo.InstanceCreatorFactoryImpl.create(InstanceCreatorFactoryImpl.java:28)
	at org.bson.codecs.pojo.ClassModel.getInstanceCreator(ClassModel.java:70)
	at org.bson.codecs.pojo.PojoCodecImpl.decode(PojoCodecImpl.java:121)
	at org.bson.codecs.pojo.PojoCodecImpl.decode(PojoCodecImpl.java:126)
	at org.bson.codecs.pojo.LazyPojoCodec.decode(LazyPojoCodec.java:57)
	at org.bson.codecs.DecoderContext.decodeWithChildContext(DecoderContext.java:93)
	at org.bson.codecs.pojo.PojoCodecImpl.decodePropertyModel(PojoCodecImpl.java:184)
	... 67 more
{noformat}

The workaround on this issue might be registering specific classes in {{PojoCodecProvider}} rather than a package name, but its ",JAVA,Bug,Codecs,,,not_relevant,medium
137,JAVA-3176,https://jira.mongodb.org/browse/JAVA-3176,opus,not_relevant,,high,Removing deprecated GridFS helpers package; API cleanup with no spec behavior change.,Remove deprecated elements in com.mongodb.async.client.gridfs.helpers package (driver-async_main module),,JAVA,Improvement,API,,,not_relevant,medium
138,JAVA-3432,https://jira.mongodb.org/browse/JAVA-3432,opus,not_relevant,,medium,ClassCastException casting Bson Document to BsonValue in update pipeline; Java-internal API bug.,ClassCastException in FindAndUpdateOperation,"{{toBsonValueList}} casts {{Bson}} objects to {{BsonValue}} which errors when the actual value is eg. a {{Document}}.

{code:java}
MongoCollection<Document> collection = // ...

Document existing = collection.findOneAndUpdate(
    new Document(""_id"", 1), 
    Collections.singletonList(
        new Document(""$set"", new Document(""title"", ""The Burning White""))
    ),
    new FindOneAndUpdateOptions().upsert(true));
{code}",JAVA,Bug,Write Operations,,,driver_spec_nonconformance,medium
139,JAVA-3485,https://jira.mongodb.org/browse/JAVA-3485,opus,not_relevant,sdam,medium,Per DRIVERS-760/SPEC-1517 driver should not fire duplicate server/cluster description events; SDAM monitoring conformance fix.,Stop firing duplicate server and cluster description events,See DRIVERS-760 for details.,JAVA,Improvement,Monitoring,,Depends:DRIVERS-760|Depends:SPEC-1517,avoidable_by_spec_conformance,high
140,JAVA-4219,https://jira.mongodb.org/browse/JAVA-4219,opus,not_relevant,,medium,"WriteError code not propagated to MongoServerException.getCode in 4.3.0-beta3; Java-specific exception API regression, not a published spec rule.",Error Code from WriteError not propagated to MongoServerException,"The current driver 4.3.0-beta3 does not seem to propagate the error {{code}} from the {{WriteError}} to the {{MongoWriteException}} in case of an {{E11000}}.

With 4.2 drivers the error code matched.

{code:java}
try {
	MongoCollection<org.bson.Document> collection = client.getDatabase(""test"").getCollection(""write-error-tests"");
	collection.insertOne(new org.bson.Document(""_id"", ""id-1""));
	collection.insertOne(new org.bson.Document(""_id"", ""id-1""));
} catch (MongoServerException e) {
	System.out.println(""ServerException Code: "" + e.getCode());
	System.out.println(""WriteError Code     : "" + ((MongoWriteException)e).getError().getCode());
}
{code}",JAVA,Bug,Error Handling,external-user,Duplicate:JAVA-4922|Related:JAVA-3993,driver_spec_nonconformance,high
141,JAVA-4707,https://jira.mongodb.org/browse/JAVA-4707,opus,not_relevant,sdam,high,SDAM electionId/setVersion priority change per DRIVERS-2412; per-driver implementation of spec rule for 6.0+ servers.,Prioritize electionId over setVersion on 6.0+ servers,"This ticket was split from {{DRIVERS-2412}}, please see that ticket for a detailed description. ",JAVA,Improvement,SDAM,,Duplicate:JAVA-4375|Issue split:DRIVERS-2412,driver_spec_nonconformance,high
142,JAVA-4910,https://jira.mongodb.org/browse/JAVA-4910,opus,not_relevant,logging,medium,"Retry debug log message logged twice; cosmetic logging duplication, not a logging-spec rule violation.",Retry debug log message is logged twice,"Running any of the retryable reads tests with operation debug logging enabled yields output like this:

{noformat}
23:01:28.857 [Test worker] DEBUG org.mongodb.driver.operation - Retrying the operation aggregate due to the error ""com.mongodb.MongoNotPrimaryException: Command failed with error 10107 (NotWritablePrimary): 'Failing command via 'failCommand' failpoint' on server localhost:27017. The full response is {""ok"": 0.0, ""errmsg"": ""Failing command via 'failCommand' failpoint"", ""code"": 10107, ""codeName"": ""NotWritablePrimary""}""; attempt #2
23:01:28.857 [Test worker] DEBUG org.mongodb.driver.operation - Retrying the operation aggregate due to the error ""com.mongodb.MongoNotPrimaryException: Command failed with error 10107 (NotWritablePrimary): 'Failing command via 'failCommand' failpoint' on server localhost:27017. The full response is {""ok"": 0.0, ""errmsg"": ""Failing command via 'failCommand' failpoint"", ""code"": 10107, ""codeName"": ""NotWritablePrimary""}""; attempt #2
{noformat}

It should only be logged once.  Not sure if the same is true for retryable writes, but it likely is.",JAVA,Bug,Logging,,Documented:DOCSP-29280,driver_spec_nonconformance,medium
143,JAVA-4965,https://jira.mongodb.org/browse/JAVA-4965,opus,not_relevant,,high,Dependency version bump for zstd library; no driver behavior change tied to a spec rule.,upgrade to latest version of zstd,,JAVA,Improvement,Wire Protocol,,,not_relevant,high
144,JAVA-5172,https://jira.mongodb.org/browse/JAVA-5172,opus,not_relevant,,high,Internal refactor of ReadCommandOperation to use CommandCreators for OperationContext threading; no behavior change.,Update ReadCommandOperation to use CommandCreators,Will allow for the OperationContext to be passed in with the timeouts.,JAVA,Improvement,,,,not_relevant,high
145,JAVA-5174,https://jira.mongodb.org/browse/JAVA-5174,opus,not_relevant,,high,"Removing a temporary Filters.eqFull builder once Atlas supports short $eq form; API cleanup, not a spec deviation.",Remove Filters.eqFull,"JAVA-5117 introduced {{Filters.eqFull}} because Atlas was not supporting the short form of {{$eq}}, and we couldn't change the behavior of {{Filters.eq}} (see https://github.com/mongodb/mongo-java-driver/pull/1200#discussion_r1327846683).

When Atlas starts supporting the short {{$eq}} form, which should be ""soon"", we can remove {{Filters.eqFull}} (marked as {{@Beta}}), because all deployments will get the update.",JAVA,Improvement,Builders,,Depends:CLOUDP-201883|Documented:DOCSP-35304|Problem/Incident:JAVA-5117,not_relevant,low
146,MOTOR-60,https://jira.mongodb.org/browse/MOTOR-60,opus,not_relevant,,high,Pip pinning mismatch between motor and pymongo versions; packaging issue.,Pip pymongo and motor version mismatch,"Motor requires pymongo exactly at 2.7.1, but pip install installs 2.7.2",MOTOR,Bug,,,,not_relevant,medium
147,MOTOR-97,https://jira.mongodb.org/browse/MOTOR-97,opus,not_relevant,,high,"Motor 1.0 deprecation roadmap and migration guide; API cleanup, no spec behavior change.",Deprecations before 1.0.,"Deprecate now, remove in 1.0:

* MotorClient.open(), host, port, document_class, tz_aware, secondary_acceptable_latency_ms, tag_sets, uuid_subtype, alive
* secondary_acceptable_latency_ms, tag_sets, and uuid_subtype for db and collection
* MotorClient.disconnect(): prefer close()
* MotorReplicaSetClient
* db.connection, collection.connection

Create a migration guide like the [PyMongo 3 Migration Guide|https://api.mongodb.org/python/2.9.1/migrate-to-pymongo3.html] and automatically link deprecated MotorAttributeFactory docstrings to the Motor migration guide.

Remove the mock MasterSlaveConnection from Synchro and other obsolete Synchro wrappers.

Add instructions for turning deprecation warnings into errors and re-testing your application before upgrading to Motor 1.0.

Assert synchrotest.py has no unused skip-test patterns (because tests have been deleted or renamed since I wrote the patterns).

Add codec_options and new CRUD and GridFS APIs.",MOTOR,Improvement,,,,cross_driver_inconsistency,medium
